name,date,location,start,end,host,linkname,link
Mashle: Muscles and Magic,3-Jul,Site #5,7:00 PM,8:00 PM,Fandomania Events,Instagram,https://www.instagram.com/ssmykghrevents#
Miku-Verse,4-Jul,Site #1,10:00 AM,11:00 AM,Tanukiiyuki,Discord,https://discord.gg/WkMGjaR5Rw#
DanDaDan,4-Jul,Site #2,10:00 AM,11:00 AM,@suburushi,Discord,https://facebook.com/events/s/dandadan-cosplay-meet-up/662722673182738/?mibextid=wwXIfr#
Black Butler,4-Jul,Site #3,10:00 AM,11:00 AM,Larvum,Discord,https://discord.gg/xfHWxncuES#
Fairy Tail,4-Jul,Site #4,10:00 AM,11:00 AM,sweeterpeach,Discord,https://discord.gg/kF3hNYsC#
Bungo Stray Dogs,4-Jul,Site #5,10:00 AM,11:00 AM,Reegen Garrahy,Discord,https://discord.gg/TPz9vPyVpP#
Silent Hill,4-Jul,Site #6,10:00 AM,11:00 AM,BonanaBun,Discord,https://discord.gg/Hc7KsweujS#
JX ONLINE 3,4-Jul,Site #7,10:00 AM,11:00 AM,Mirai,Instagram,https://www.instagram.com/starfalls16/#
Indie Horror Games,4-Jul,Site #1,11:00 AM,12:00 PM,Emily Bennett,Facebook,https://www.facebook.com/groups/1335154254483737#
Devil May Cry,4-Jul,Site #2,11:00 AM,12:00 PM,Jason Kim,Discord,https://discord.gg/kxhDu4ad8g#
Honkai: Star Rail 3rd,4-Jul,Site #3,11:00 AM,12:00 PM,Teemo,Discord,https://discord.gg/QZjcJ4zdJY#
Moriarty the Patriot,4-Jul,Site #4,11:00 AM,12:00 PM,Sprout,TBD,0
Puyo Puyo / Madou Monogatari,4-Jul,Site #5,11:00 AM,12:00 PM,SuzuranFanClub,Discord,https://discord.gg/WZEAR8JBNb#
Guilty Gear,4-Jul,Site #6,11:00 AM,12:00 PM,Tam & Chance,Discord,https://discord.gg/WsK44w9KUQ#
Wind Breaker,4-Jul,Site #7,11:00 AM,12:00 PM,Lily,Instagram,https://www.instagram.com/p/DK-2leNyDBG/?igsh=NTc4MTIwNjQ2YQ==#
Kancolle Cosplay,4-Jul,Site #1,12:00 PM,1:00 PM,Kancolle Meetup,Discord,https://discord.gg/DqNDzYqdws#
Puella Magi Madoka Magica,4-Jul,Site #2,12:00 PM,1:00 PM,Aliza Tran,Discord,https://discord.gg/fP3dFpKJrw#
Trails/Kiseki,4-Jul,Site #3,12:00 PM,1:00 PM,Bork,Discord,https://discord.gg/CaBu7BMe8d#
Alien Stage,4-Jul,Site #4,12:00 PM,1:00 PM,Audrey,Discord,https://discord.gg/88wECSUKb6#
Tears of Themis,4-Jul,Site #5,12:00 PM,1:00 PM,Eden,Discord,https://discord.gg/HEDukVP2es#
Record of Ragnarok,4-Jul,Site #6,12:00 PM,1:00 PM,ParanormalBeluga,Discord,https://discord.gg/SFnh2PfRfH#
Gundam,4-Jul,Site #7,12:00 PM,1:00 PM,Eric,Discord,https://discord.gg/AQvuJxEAWt#
Hellsing Ultimate,4-Jul,Site #1,1:00 PM,2:00 PM,RevanEnt,Discord,https://discord.gg/W8SfEbmz#
Naruto,4-Jul,Site #2,1:00 PM,2:00 PM,Aaron Chiu,Discord,https://discord.gg/mrpJKe6TA6#
Hazbin Hotel/Helluva Boss,4-Jul,Site #3,1:00 PM,2:00 PM,Mia,Discord,https://discord.gg/SVSwHzbxRw#
Sailor Moon,4-Jul,Site #4,1:00 PM,2:00 PM,Sailor Mikey,Discord,https://discord.gg/4VcChA7JKt#
Goddess of Victory: NIKKE,4-Jul,Site #5,1:00 PM,2:00 PM,Anthony Cabales,Discord,https://discord.gg/bQZEBVKz#
Zenless Zone Zero,4-Jul,Site #6,1:00 PM,2:00 PM,BunnyTuan,Discord,https://discord.gg/t9PFugV7Zx#
Girls Frontline/Girls Frontline 2: Exilium,4-Jul,Site #7,1:00 PM,2:00 PM,Leon,Discord,https://discord.gg/SDC8JvqTU9#
NANA,4-Jul,Site #1,2:00 PM,3:00 PM,Bea & Sai,Discord,https://discord.gg/gBsb6mB4#
Frieren,4-Jul,Site #2,2:00 PM,3:00 PM,James Truong,Discord,https://discord.gg/CRGP3DgDgj#
Identity V,4-Jul,Site #3,2:00 PM,3:00 PM,romeoogiulietta,Discord,https://discord.gg/Bt4ccxqUFD#
Invincible,4-Jul,Site #4,2:00 PM,3:00 PM,Isa Alexiz,Discord,https://discord.gg/ykMJmveJ#
LEGO,4-Jul,Site #5,2:00 PM,3:00 PM,Equerry_Cosplay,,0
Ensemble Stars,4-Jul,Site #6,2:00 PM,3:00 PM,Cass,Facebook,https://facebook.com/events/s/ensemble-stars-gathering-ax/542407752209667/#
Persona,4-Jul,Site #7,2:00 PM,3:00 PM,OtomeKnight,Facebook,https://www.facebook.com/events/1745444429370948/#
Ace Attorney,4-Jul,Site #1,3:00 PM,4:00 PM,torzcos,Discord,https://discord.gg/QGkpPB8agm#
Trigun,4-Jul,Site #2,3:00 PM,4:00 PM,Veronica,Discord,https://discord.gg/zBTAMGwzK3#
My Little Pony,4-Jul,Site #3,3:00 PM,4:00 PM,Megan,Discord,https://discord.gg/G7PYWZRJ3c#
Sonic the Hedgehog,4-Jul,Site #4,3:00 PM,4:00 PM,Briannabuns,Discord,https://discord.gg/ZB8mYyjs#
Wuthering Waves,4-Jul,Site #5,3:00 PM,4:00 PM,Bunny Tuan,Discord,https://discord.gg/X7xksu438x#
League of Legends,4-Jul,Site #6,3:00 PM,4:00 PM,Joshua,Discord,https://discord.gg/mUB5cndHsQ#
Arknights,4-Jul,Site #7,3:00 PM,4:00 PM,Binh,Discord,https://discord.gg/t26GZmyRF5#
Panty & Stocking with Garterbelt,4-Jul,Site #1,4:00 PM,5:00 PM,SWEETKITSU,Discord,https://discord.gg/cvbZ2GhPHC#
Final Fantasy Gathering,4-Jul,Site #2,4:00 PM,5:00 PM,Summoner’s Stories,Discord,https://discord.gg/EXUYVsdKrm#
Sanrio,4-Jul,Site #3,4:00 PM,5:00 PM,Raven/ TEMP01CO,Discord,https://discord.gg/53GdeaqAgn#
NieR: Automata,4-Jul,Site #4,4:00 PM,5:00 PM,draftedphotos,Instagram,https://www.instagram.com/draftedphotos/#
Soul Eater/Fire Force,4-Jul,Site #5,4:00 PM,5:00 PM,Alexis Duran,Discord,https://discord.gg/XrxxzR3Sa3#
Dead by Daylight/ Horror,4-Jul,Site #6,4:00 PM,5:00 PM,Rachel Cintron,Discord,https://discord.gg/zmZSZpQa#
WIND BREAKER,4-Jul,Site #7,4:00 PM,5:00 PM,solari,Instagram,0
The Amazing Digital Circus,4-Jul,Site #1,5:00 PM,6:00 PM,"Hona, Rain",Discord,https://discord.gg/VH6nJvM6#
Final Fantasy XIV Gathering,4-Jul,Site #2,5:00 PM,6:00 PM,Summoner’s Stories,Discord,https://discord.gg/EXUYVsdKrm#
Love and Deepspace,4-Jul,Site #3,5:00 PM,6:00 PM,Deepspace Sleeves,Instagram,https://www.instagram.com/love_and_deepsleeves?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
The Apothecary Diaries,4-Jul,Site #4,5:00 PM,6:00 PM,Rina Xavier,Discord,https://discord.com/channels/1230600037206065253/1230600039076986932#
Vshojo,4-Jul,Site #5,5:00 PM,6:00 PM,ShouAkemi,Facebook,https://www.facebook.com/events/1284752562629201/?acontext=%7B%22event_action_history%22%3A%5b%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22create_dialog%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22create_dialog%22%7D%5d%2C%22ref_notif_type%22%3Anull%7D&onload_action=open_invite_flow&show_created_event_toast=true#
Marvel Rivals,4-Jul,Site #6,5:00 PM,6:00 PM,Erina,Discord,https://discord.gg/F8vRK3pD#
Jojo’s Bizarre Adventure,4-Jul,Site #7,5:00 PM,6:00 PM,Uncle Speedwagon,Instagram,https://www.instagram.com/uncle_speedwagon.cos?igsh=NTc4MTIwNjQ2YQ==#
TAMAGOTCHI,4-Jul,Site #1,6:00 PM,7:00 PM,ANIIWA,Discord,https://discord.gg/JnZnDNf72R#
Shugo Chara,4-Jul,Site #2,6:00 PM,7:00 PM,Desumpling,Discord,https://discord.gg/eJwxY4rFCh#
Capcom,4-Jul,Site #3,6:00 PM,7:00 PM,@malikai_the_hokage,Facebook,https://facebook.com/events/s/capcom-gathering-anime-expo/1163258582259747/?mibextid=Gg3lNB#
Honor of Kings,4-Jul,Site #4,6:00 PM,7:00 PM,Honor of Kings,Discord,https://discord.gg/ujkAsgQU#
Twisted Wonderland (Pajama Party),4-Jul,Site #5,6:00 PM,7:00 PM,Blue Eyed Cosplay,Discord,https://discord.gg/7fvq7gZm#
Fate Grand Order and Type Moon,4-Jul,Site #6,6:00 PM,7:00 PM,SargentJY,Discord,https://discord.com/invite/8A94XzX?fbclid=IwZXh0bgNhZW0CMTEAAR7t-7YaVPr0KOP8IdQAhRF767KEAaXsRJm0na9ZzfTO6j7M5xNwVyPPusTwFQ_aem_g_y9yN8Pz8GkSSwroDvU1Q#
Blue Archive,4-Jul,Site #7,6:00 PM,7:00 PM,TumbleWeed DS4,Discord,https://discord.gg/BKxtHknQpn#
Dorohedoro,4-Jul,Site #1,7:00 PM,8:00 PM,Bobbybrine,Discord,https://discord.gg/8NJyU9PxSs#
Tokyo Revengers,4-Jul,Site #2,7:00 PM,8:00 PM,krypelius,Instagram,https://www.instagram.com/krypelius?igsh=NTc4MTIwNjQ2YQ==#
Baldur's Gate,4-Jul,Site #3,7:00 PM,8:00 PM,@bitespeople + Prism Power,Discord,https://discord.gg/CcB2CQYTEN#
Mixed VTuber Gathering,4-Jul,Site #4,7:00 PM,8:00 PM,VTPanako,Discord,https://discord.gg/Xzj7hRrKy7#
Random Dance,4-Jul,Site #5,7:00 PM,8:00 PM,Greenhillcos,Discord,https://discord.gg/zMknZcDQVB#
Death Note,4-Jul,Site #6,7:00 PM,8:00 PM,Nati (@natixcos),Discord,https://discord.gg/5wPKEr2Wyr#
Vtuber/Vtuber Fans,4-Jul,Site #7,7:00 PM,8:00 PM,Raz.GG,Instagram,https://www.instagram.com/razdotgg/#
Touken Ranbu,5-Jul,Site #3,10:00 AM,11:00 AM,Malleus,Instagram,https://www.instagram.com/chibibaachan777/#
Gintama,5-Jul,Site #4,10:00 AM,11:00 AM,Gintaman,Discord,https://discord.gg/W5px3RnAwF#
Youtaite,5-Jul,Site #5,10:00 AM,11:00 AM,kaerrie,Discord,https://discord.gg/UTnhfswVJd#
Tower of God,5-Jul,Site #6,10:00 AM,11:00 AM,ang,Instagram,https://www.instagram.com/howobnoctis#
Bungo Stray Dogs,5-Jul,Site #7,10:00 AM,11:00 AM,Nex,Discord,https://discord.gg/RrYcSguD3m#
Steins;Gate,5-Jul,Site #1,11:00 AM,12:00 PM,Andrew Bork,Discord,https://discord.gg/x7Sc3QKeg5#
Monster Hunter,5-Jul,Site #2,11:00 AM,12:00 PM,KeikoPin Cosplay,Facebook,https://facebook.com/events/s/monster-hunter-gathering-anime/1003864731276424/?mibextid=RQdjqZ#
Code Geass,5-Jul,Site #3,11:00 AM,12:00 PM,Aaron Chiu,Discord,https://discord.gg/mrpJKe6TA6#
Soul Eater,5-Jul,Site #4,11:00 AM,12:00 PM,Mia @mia.whorror,Discord,https://discord.gg/awrH7CfNkg#
Dragon Ball,5-Jul,Site #5,11:00 AM,12:00 PM,@suburushi,Facebook,https://facebook.com/events/s/anime-expo-dragon-ball-cosplay/649424214498157/?mibextid=wwXIfr#
Granblue Fantasy,5-Jul,Site #6,11:00 AM,12:00 PM,vibratingsheep,Discord,https://discord.gg/tJah9tFc8n#
Vocaloid/ Utau,5-Jul,Site #7,11:00 AM,12:00 PM,Rain,Discord,https://discord.gg/XXs5cRCDHH#
Re: Zero - Starting Life in Another World,5-Jul,Site #1,12:00 PM,1:00 PM,Felix,Discord,https://discord.gg/tQZsjHWshQ#
One Piece,5-Jul,Site #2,12:00 PM,1:00 PM,BabyBatBxtch/StrawHatHobbit,Discord,https://discord.gg/4cFuStTvBk#
Made in Abyss!,5-Jul,Site #3,12:00 PM,1:00 PM,The Castaway Redd,Discord,https://discord.gg/wpjZ9jXT#
AX Touhou,5-Jul,Site #4,12:00 PM,1:00 PM,TouhouFest,Discord,https://discord.gg/touhoufest#
Xenoblade,5-Jul,Site #5,12:00 PM,1:00 PM,@semi_collrin (Instagram),Discord,https://discord.gg/CQVNMGQg2S#
Reverse 1999,5-Jul,Site #6,12:00 PM,1:00 PM,amurder_ofcrows_,Discord,https://discord.gg/pJ7y4ZepCe#
Project Moon,5-Jul,Site #7,12:00 PM,1:00 PM,Flippy,Discord,https://discord.gg/hnFefd6cvG#
Omniscient Reader’s Viewpoint,5-Jul,Site #1,1:00 PM,2:00 PM,orvcupsleeve,Instagram,https://www.instagram.com/orvcupsleeve?igsh=NTc4MTIwNjQ2YQ==#
Honkai Star Rail,5-Jul,Site #2,1:00 PM,2:00 PM,Astral Dimension Cosplay,Instagram,https://www.instagram.com/katsuha_cos?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
Genshin Impact,5-Jul,Site #3,1:00 PM,2:00 PM,Teemo,Discord,https://discord.gg/bP74skNF5r#
Sailor Moon,5-Jul,Site #4,1:00 PM,2:00 PM,Sailor Mikey,Discord,https://discord.gg/4VcChA7JKt#
Umamusume,5-Jul,Site #5,1:00 PM,2:00 PM,Leon,Discord,https://discord.gg/YhwJRzVUws#
Valorant,5-Jul,Site #6,1:00 PM,2:00 PM,Mikki Marzo,Discord,https://discord.gg/UuCYRu75PY#
Jujutsu Kaisen,5-Jul,Site #7,1:00 PM,2:00 PM,InabasFinest,Discord,https://discord.gg/HZGyYX3a#
Witch Hat Atelier,5-Jul,Site #1,2:00 PM,3:00 PM,Olruggio,Instagram,https://www.instagram.com/custas_legs?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
Hololive,5-Jul,Site #2,2:00 PM,3:00 PM,Anthony Cabales,Discord,https://discord.gg/holotakeover#
League of Legends,5-Jul,Site #3,2:00 PM,3:00 PM,Joshua Beckman,Discord,https://discord.gg/mqEATsSmzv#
Kaiju no 8,5-Jul,Site #4,2:00 PM,3:00 PM,Jason Kim,Discord,https://discord.gg/SNKyhDHb97#
Dimension 20 & Dropout,5-Jul,Site #5,2:00 PM,3:00 PM,Brookewormcosplay,Facebook,https://facebook.com/events/s/dimension-20-dropout-anime-exp/1295950574799215/?mibextid=Gg3lNB#
Identity V,5-Jul,Site #6,2:00 PM,3:00 PM,Balsaphobicc,Discord,https://discord.gg/xrNu9Tu9Qn#
Hazbin Hotel/Helluva Boss,5-Jul,Site #7,2:00 PM,3:00 PM,Corvo Cosplay,Instagram,https://www.instagram.com/corvo_cosplay?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
Trails/Kiseki,5-Jul,Site #1,3:00 PM,4:00 PM,Sarah/slsl_cosplay,Facebook,https://facebook.com/events/s/trailskiseki-cosplay-gathering/680155531220629/?mibextid=Gg3lNB#
HoloStars,5-Jul,Site #2,3:00 PM,4:00 PM,Anthony Cabales,Discord,https://discord.gg/holotakeover#
Berserk,5-Jul,Site #3,3:00 PM,4:00 PM,Bottledcos,Discord,https://discord.gg/kvuFxYDznS#
Jujutsu Kaisen,5-Jul,Site #4,3:00 PM,4:00 PM,Jjcos!,Discord,https://discord.gg/PM55afvHym#
Alien Stage,5-Jul,Site #5,3:00 PM,4:00 PM,Moss,Discord,https://discord.gg/gfQKCpTcPJ#
A3,5-Jul,Site #6,3:00 PM,4:00 PM,Alex,Discord,https://discord.gg/ftwR9PhEH7#
Blue Archive,5-Jul,Site #7,3:00 PM,4:00 PM,DeltaSierra4,Discord,https://discord.gg/BKxtHknQpn#
Katekyo Hitman Reborn,5-Jul,Site #5,4:00 PM,5:00 PM,Melissa Fonseca,Instagram,https://instagram.com/khr_cupsleeve?igshid=YTQwZjQ0NmI0OA%3D%3D&utm_source=qr#
Vinland Saga,5-Jul,Site #1,4:00 PM,5:00 PM,JosinLY,Discord,https://discord.gg/7ewPxUxRne#
Cyberpunk Edgerunners / 2077,5-Jul,Site #2,4:00 PM,5:00 PM,shawnstarplat,Instagram,https://www.instagram.com/p/DHr4RZnPDej/?igsh=NTc4MTIwNjQ2YQ%3D%3D#
Demon Slayer: Kimetsu no Yaiba,5-Jul,Site #3,4:00 PM,5:00 PM,Kyle Jonathan Chang,Facebook,https://facebook.com/events/s/demon-slayer-cosplay-gathering/1262544441664532/#
Roblox,5-Jul,Site #6,4:00 PM,5:00 PM,GEARZURE,Discord,https://discord.gg/v9xwwx75uM#
Marvel Rivals,5-Jul,Site #7,4:00 PM,5:00 PM,Jonathan Hurtado,Instagram,https://www.instagram.com/jo.haa_nathan?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr#
NITRO CHiRAL,5-Jul,Site #1,5:00 PM,6:00 PM,peepeehajime,Discord,https://discord.gg/YSkquGvnqP#
Love and Deepspace,5-Jul,Site #2,5:00 PM,6:00 PM,Hua,Discord,https://discord.gg/btAGAkdXWR#
Overwatch,5-Jul,Site #3,5:00 PM,6:00 PM,Mp5_Senpai (Migi),Facebook,https://fb.me/1M1hU4vkDxyFV90#
Twister Wonderland,5-Jul,Site #4,5:00 PM,6:00 PM,Malleus Draconia,Discord,https://discord.gg/DhxM3tdF#
Bleach,5-Jul,Site #5,5:00 PM,6:00 PM,Queenkirigaya,Discord,https://discord.gg/VX72yByb#
Avatar The Last Airbender,5-Jul,Site #6,5:00 PM,6:00 PM,socal_avatargathering,Instagram,https://www.instagram.com/socal_avatargathering?igsh=MzRlODBiNWFlZA==#
Resident Evil,5-Jul,Site #7,5:00 PM,6:00 PM,Rohan Diddee,Facebook,https://www.facebook.com/share/18DUWZH88H/?mibextid=wwXIfr#
Discord,5-Jul,Site #1,6:00 PM,7:00 PM,Astra,Discord,https://discord.gg/xmUw7akH#
Final Fantasy,5-Jul,Site #2,6:00 PM,7:00 PM,sei.081,Instagram,https://www.instagram.com/sei.081/#
Kuro Games Kuro Games (wuthering waves/ Punishing: gray raven),5-Jul,Site #3,6:00 PM,7:00 PM,Roxas_No.XIII,Discord,https://discord.gg/w6wDmZvsdk#
Charisma House,5-Jul,Site #4,6:00 PM,7:00 PM,Lo,Discord,https://discord.gg/frNbWQP7BX#
